State,Year,d2013,d2014,DR,PGP2013,AGP2013,PPC2013,PS2013,PM2013,AM2013,PBC2013,ABC2013,PAR2013,AAR2013,NFL2013,TGA2013,LGA2013,LSG2013,LegR,GovR,StateR
Hawaii,2014,0,1,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1
Idaho,2014,0,1,13.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Illinois,2014,0,1,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1
Indiana,2014,0,1,12.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
Iowa,2014,0,1,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kansas,2014,0,1,11.3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1
Kentucky,2014,0,1,13.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Louisiana,2014,0,1,18.9,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
Maine,2014,0,1,9.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Maryland,2014,0,1,9,0,0,0,0,1,0,1,0,1,0,0,0,0,1,-1,-1,-1
Massachusetts,2014,0,1,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
Michigan,2014,0,1,11.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Minnesota,2014,0,1,6.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1
Mississippi,2014,0,1,18,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Missouri,2014,0,1,15.2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-1,0
Montana,2014,0,1,15.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
Nebraska,2014,0,1,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Nevada,2014,0,1,14.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
New Hampshire,2014,0,1,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
New Jersey,2014,0,1,5.3,1,0,0,0,1,0,0,0,0,0,0,1,0,1,-1,1,0
New Mexico,2014,0,1,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
New York,2014,0,1,4.2,0,0,0,0,1,0,1,0,1,0,0,0,0,1,-1,-1,-1
North Carolina,2014,0,1,11.7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
North Dakota,2014,0,1,12.1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
Ohio,2014,0,1,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Oklahoma,2014,0,1,15.6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
