Player,POS.,TYPE,FROM,TO,YRS,DOLLARS,AVG. SALARY
Chris Bosh,PF,UFA,TOR,TOR,6,110000000.00,18333333.00
LeBron James,SF,UFA,CLE,CLE,6,109837500.00,18306250.00
Dwyane Wade,SG,UFA,MIA,MIA,6,107186000.00,17864333.00
Amar'e Stoudemire,PF,UFA,PHX,PHX,5,99743996.00,19948799.00
Rudy Gay,SF,RFA,MEM,MEM,5,82302690.00,16460538.00
David Lee,PF,UFA,NYK,NYK,6,79537680.00,13256280.00
Carlos Boozer,PF,UFA,UTH,CHI,5,75000000.00,15000000.00
Paul Pierce,SF,UFA,BOS,BOS,4,61333334.00,15333334.00
Brendan Haywood,C,UFA,DAL,DAL,6,55000000.00,9166667.00
Luis Scola,PF,UFA,HOU,HOU,5,47000000.00,9400000.00
Tyrus Thomas,PF,RFA,CHA,CLE,5,40000000.00,8000000.00
Richard Jefferson,SF,UFA,SAS,SAS,4,38892000.00,9723000.00
Wesley Matthews,SG,RFA,UTH,POR,5,35530000.00,7106000.00
Josh Childress,SF,UFA,ATL,ATL,5,33500000.00,6700000.00
Drew Gooden,PF,UFA,LAC,MIL,5,32048400.00,6409680.00
Mike Miller,SG,UFA,WAS,MIA,5,29000000.00,5800000.00
Kyle Lowry,PG,RFA,HOU,HOU,4,24000000.00,6000000.00
Udonis Haslem,PF,UFA,MIA,MIA,5,20300000.00,4060000.00
Darko Milicic,PF,UFA,MIN,MIN,4,20000000.00,5000000.00
J.J. Redick,SG,RFA,ORL,ORL,3,19690000.00,6563333.00
Linas Kleiza,SF,RFA,DEN,TOR,4,18800000.00,4700000.00
Luke Ridnour,PG,UFA,MIL,MIN,4,16000000.00,4000000.00
Steve Blake,PG,UFA,LAC,LAL,4,16000000.00,4000000.00
Raymond Felton,PG,UFA,CHA,NYK,2,15800000.00,7900000.00
Kyle Korver,SG,UFA,UTH,CHI,3,15000000.00,5000000.00
Chris Duhon,PG,UFA,ORL,ORL,4,15000000.00,3750000.00
Matt Bonner,C,UFA,SAS,SAS,4,13890000.00,3472500.00
Johan Petro,C,UFA,DEN,NJN,3,10000000.00,3333333.00
Raja Bell,SG,UFA,GSW,UTH,3,9720000.00,3240000.00
Tony Allen,SG,UFA,BOS,MEM,3,9450000.00,3150000.00
Nate Robinson,PG,UFA,BOS,BOS,2,8700000.00,4350000.00
Keith Bogans,SF,UFA,SAS,CHI,2,3328000.00,1664000.00
Josh Howard,SF,UFA,WAS,WAS,1,3000000.00,3000000.00
Marquis Daniels,SF,UFA,BOS,BOS,1,2470000.00,2470000.00
Ian Mahinmi,C,UFA,SAS,DAL,2,1650000.00,825000.00
Jason Collins,C,UFA,ATL,ATL,1,1352181.00,1352181.00
Earl Watson,PG,UFA,IND,UTH,1,1229255.00,1229255.00
Malik Allen,SF,UFA,DEN,ORL,1,1229255.00,1229255.00
Kwame Brown,C,UFA,DET,CHA,1,1229255.00,1229255.00
Kyrylo Fesenko,C,RFA,UTH,UTH,1,1087500.00,1087500.00
Patrick Mills,PG,RFA,POR,POR,1,937195.00,937195.00
Cartier Martin,PF,RFA,WAS,WAS,1,854389.00,854389.00
Earl Barron,PF,UFA,PHX,MIL,1,188558.00,188558.00
Tracy McGrady,SG,UFA,NYK,TBD,1,1352181.00,1352181.00
Jermaine O'Neal,C,UFA,MIA,TBD,2,11991000.00,5995500.00
Tim Duncan,PF,UFA,SAS,TBD,4,40000000.00,10000000.00
Dirk Nowitzki,PF,UFA,DAL,TBD,4,80000000.00,20000000.00
Ray Allen,SG,UFA,BOS,TBD,2,20000000.00,10000000.00
Al Harrington,PF,UFA,NYK,TBD,5,33437000.00,6687400.00
John Salmons,SF,UFA,MIL,TBD,5,39166000.00,7833200.00
Kurt Thomas,PF,UFA,MIL,TBD,1,1352181.00,1352181.00
Roger Mason,SG,UFA,SAS,TBD,1,1400000.00,1400000.00
Damien Wilkins,SG,UFA,MIN,TBD,1,326810.00,326810.00
Randy Foye,SG,UFA,WAS,TBD,2,8500000.00,4250000.00
Joe Alexander,SF,UFA,CHI,TBD,2,1616584.00,808292.00
Hilton Armstrong,C,UFA,HOU,TBD,1,992680.00,992680.00
Ronnie Brewer,SF,UFA,UTH,TBD,3,12500000.00,4166666.67
Matt Barnes,SF,UFA,ORL,TBD,2,3665000.00,1832500.00
Sasha Pavlovic,SG,UFA,MIN,TBD,1,1146337.00,1146337.00
Carlos Arroyo,PG,UFA,MIA,TBD,1,1223166.00,1223166.00
Aaron Gray,C,UFA,CHI,TBD,2,2187075.00,1093537.50
Steve Novak,SF,UFA,LAC,TBD,1,350179.00,350179.00
Louis Amundson,PF,UFA,PHX,TBD,2,4628000.00,2314000.00
Joel Anthony,C,RFA,MIA,TBD,5,18250000.00,3650000.00
Jerry Stackhouse,SF,UFA,MIA,TBD,1,1352181.00,1352181.00
Anthony Morrow,SG,RFA,GSW,TBD,3,12000000.00,4000000.00
Earl Barron,PF,UFA,MIL,TBD,1,1118620.00,1118620.00
Trent Plaisted,C,UFA,PHI,TBD,1,473604.00,473604.00
,,,,,,,
