Player,POS.,TYPE,FROM,TO,YRS,DOLLARS,AVG. SALARY
Ben Gordon,SG,UFA,CHI,DET,5,50000000.00,10000000.00
Anderson Varejao,PF,UFA,CLE,CLE,6,48300000.00,8050000.00
Shawn Marion,SF,UFA,TOR,TOR,5,40019211.00,8003842.00
Marvin Williams,PF,RFA,ATL,ATL,5,37500000.00,7500000.00
Metta World Peace,SF,UFA,HOU,LAL,5,33953200.00,6790640.00
Paul Millsap,PF,RFA,UTH,UTH,4,32000000.00,8000000.00
Andre Miller,PG,UFA,PHI,POR,3,21807792.00,7269264.00
Zaza Pachulia,C,UFA,ATL,ATL,4,19000000.00,4750000.00
Rasheed Wallace,PF,UFA,BOS,BOS,3,18966960.00,6322320.00
Brandon Bass,PF,UFA,DAL,ORL,4,18000000.00,4500000.00
Ramon Sessions,PG,RFA,MIL,MIN,4,16444586.00,4111147.00
Dahntay Jones,SF,UFA,DEN,IND,4,10600000.00,2650000.00
Carlos Delfino,SG,UFA,TOR,TOR,3,10500000.00,3500000.00
David Lee,PF,UFA,NYK,NYK,1,7000000.00,7000000.00
Grant Hill,SF,UFA,PHX,PHX,2,6324000.00,3162000.00
Chris Wilcox,PF,UFA,NYK,DET,2,6000000.00,3000000.00
Raymond Felton,PG,RFA,CHA,CHA,1,5501196.00,5501196.00
Nate Robinson,PG,UFA,NYK,NYK,1,4000000.00,4000000.00
Channing Frye,PF,UFA,POR,PHX,2,4000000.00,2000000.00
Earl Watson,PG,UFA,OKC,IND,1,2800000.00,2800000.00
Ronnie Price,PG,UFA,UTH,UTH,2,2631250.00,1315625.00
Marquis Daniels,SF,UFA,IND,BOS,1,1990000.00,1990000.00
Jason Collins,C,UFA,ATL,ATL,1,1181803.00,1181803.00
Keith Bogans,SF,UFA,ORL,SAS,1,1033342.00,1033342.00
C.J. Watson,PG,RFA,GSW,GSW,1,1000497.00,1000497.00
Johan Petro,C,UFA,DEN,DEN,1,884881.00,884881.00
Steve Novak,SF,RFA,LAC,LAC,1,855189.00,855189.00
Allen Iverson,PG,UFA,MEM,TBD,1,3099729.00,3099729.00
Lamar Odom,PF,UFA,LAL,TBD,4,8200000.00,2050000.00
Drew Gooden,PF,UFA,SAC,TBD,1,4500000.00,4500000.00
Hedo Turkoglu,SF,UFA,ORL,TBD,5,52800000.00,10560000.00
Marquis Daniels,SF,UFA,BOS,TBD,1,1990000.00,1990000.00
Jerry Stackhouse,SF,UFA,MEM,TBD,1,668598.00,668598.00
Chucky Atkins,PG,UFA,MIN,TBD,1,760000.00,760000.00
Trevor Ariza,SF,UFA,LAL,TBD,5,33953200.00,6790640.00
Charlie Villanueva,PF,UFA,MIL,TBD,5,37700000.00,7540000.00
Brent Barry,SG,UFA,HOU,TBD,1,2062800.00,2062800.00
Jarrett Jack,PG,RFA,IND,TBD,4,20000000.00,5000000.00
Chris Andersen,PF,UFA,DEN,TBD,3,12417300.00,4139100.00
Ryan Hollins,C,RFA,DAL,TBD,3,6999999.00,2333333.00
Shannon Brown,PG,UFA,LAL,TBD,2,4139200.00,2069600.00
Joel Anthony,C,RFA,MIA,TBD,1,825497.00,825497.00
Marcin Gortat,C,RFA,ORL,TBD,5,33953200.00,6790640.00
Aaron Gray,C,RFA,CHI,TBD,1,1000497.00,1000497.00
Josh McRoberts,PF,RFA,IND,TBD,2,1710617.00,855309.00
Anthony Tolliver,PF,UFA,POR,TBD,1,582704.00,582704.00
