Player,POS.,TYPE,FROM,TO,YRS,DOLLARS,AVG. SALARY
Deron Williams,PG,UFA,BKN,BKN,5,98772325.00,19754465.00
Eric Gordon,SG,RFA,NOH,NOH,4,58365563.00,14591391.00
Roy Hibbert,C,RFA,IND,IND,4,58365563.00,14591391.00
Nicolas Batum,SG,RFA,POR,POR,4,46121500.00,11530375.00
JaVale McGee,C,RFA,DEN,DEN,4,44000000.00,11000000.00
Gerald Wallace,SF,UFA,BKN,BKN,4,40000030.00,10000008.00
George Hill,PG,RFA,IND,IND,5,40000000.00,8000000.00
Ersan Ilyasova,SF,UFA,MIL,MIL,5,40000000.00,8000000.00
Kevin Garnett,PF,UFA,BOS,BOS,3,36000000.00,12000000.00
Jeff Green,SF,UFA,BOS,BOS,4,35200000.00,8800000.00
Ryan Anderson,PF,RFA,ORL,ORL,4,34000000.00,8500000.00
Tim Duncan,PF,UFA,SAS,SAS,3,30361446.00,10120482.00
Jason Thompson,PF,RFA,SAC,SAC,5,30187500.00,6037500.00
Goran Dragic,PG,UFA,HOU,PHX,4,30000000.00,7500000.00
Steve Nash,PG,UFA,PHX,LAL,3,27901500.00,9300500.00
Jameer Nelson,PG,UFA,ORL,ORL,3,25200000.00,8400000.00
Omer Asik,C,RFA,CHI,HOU,3,25123938.00,8374646.00
Jeremy Lin,PG,RFA,NYK,HOU,3,25123938.00,8374646.00
Courtney Lee,SG,UFA,HOU,HOU,4,21350000.00,5337500.00
Jamal Crawford,SG,UFA,POR,LAC,4,21350000.00,5337500.00
Brandon Bass,PF,UFA,BOS,BOS,3,19350000.00,6450000.00
Landry Fields,SF,RFA,NYK,TOR,3,18750000.00,6250000.00
Michael Beasley,SF,UFA,MIN,PHX,3,18000000.00,6000000.00
Ian Mahinmi,C,UFA,DAL,DAL,4,16000000.00,4000000.00
Louis Williams,SG,UFA,PHI,ATL,3,15675000.00,5225000.00
Jason Terry,SG,UFA,DAL,BOS,3,15675000.00,5225000.00
Raymond Felton,PG,UFA,POR,POR,4,14860000.00,3715000.00
Andre Miller,PG,UFA,DEN,DEN,3,14625000.00,4875000.00
Marcus Camby,C,UFA,HOU,HOU,3,13151319.00,4383773.00
Spencer Hawes,PF,UFA,PHI,PHI,2,13100000.00,6550000.00
Danny Green,SG,RFA,SAS,SAS,3,11287500.00,3762500.00
Brandon Roy,SG,UFA,POR,MIN,2,10400000.00,5200000.00
Ramon Sessions,PG,UFA,LAL,CHA,2,10000000.00,5000000.00
Darrell Arthur,PF,RFA,MEM,MEM,2,9675000.00,4837500.00
Boris Diaw,C,UFA,SAS,SAS,2,9202500.00,4601250.00
Jason Kidd,PG,UFA,DAL,NYK,3,9090000.00,3030000.00
Marreese Speights,C,RFA,MEM,MEM,2,8715000.00,4357500.00
O.J. Mayo,SG,UFA,MEM,DAL,2,8220900.00,4110450.00
Carl Landry,PF,UFA,NOH,GSW,2,8000000.00,4000000.00
Brandon Rush,SG,RFA,GSW,GSW,2,8000000.00,4000000.00
Chris Kaman,C,UFA,NOH,DAL,1,8000000.00,8000000.00
Kirk Hinrich,SG,UFA,ATL,CHI,2,8000000.00,4000000.00
Jordan Hill,C,UFA,LAL,LAL,2,7127200.00,3563600.00
Shannon Brown,PG,UFA,PHX,PHX,2,7000000.00,3500000.00
DeShawn Stevenson,SF,UFA,ATL,ATL,3,6721350.00,2240450.00
Ray Allen,SG,UFA,BOS,MIA,2,6319050.00,3159525.00
Jerryd Bayless,PG,UFA,TOR,MEM,2,6135000.00,3067500.00
LaVoy Allen,PF,RFA,PHI,PHI,2,6060000.00,3030000.00
Carlos Delfino,SG,UFA,MIL,HOU,2,6000000.00,3000000.00
Kwame Brown,C,UFA,MIL,PHI,2,5764945.00,2882473.00
Nick Young,SF,UFA,LAC,PHI,1,5600000.00,5600000.00
Greg Stiemsma,C,RFA,BOS,MIN,2,5265875.00,2632938.00
Aaron Gray,C,UFA,TOR,TOR,2,5265875.00,2632938.00
Anthony Randolph,PF,UFA,MIN,DEN,3,5250000.00,1750000.00
Jeremy Evans,SF,RFA,UTH,UTH,3,5250000.00,1750000.00
Reggie Evans,PF,UFA,LAC,BKN,3,5086905.00,1695635.00
Aaron Brooks,PG,UFA,SAC,HOU,1,5000000.00,5000000.00
Jared Jeffries,PF,UFA,NYK,NYK,3,4624458.00,1541486.00
C.J. Miles,SG,UFA,UTH,CLE,2,4450000.00,2225000.00
Willie Green,SF,UFA,ATL,ATL,3,4222997.00,1407666.00
Grant Hill,SF,UFA,PHX,LAC,2,4002065.00,2001033.00
J.J Hickson,PF,RFA,POR,POR,1,4000000.00,4000000.00
Chauncey Billups,PG,UFA,LAC,LAC,1,4000000.00,4000000.00
D.J. Augustin,PG,UFA,CHA,IND,1,3500000.00,3500000.00
John Lucas III,PG,UFA,CHI,TOR,2,3000000.00,1500000.00
Ishmael Smith,PG,UFA,ORL,ORL,3,2854389.00,951463.00
Rashard Lewis,PF,UFA,NOH,MIA,2,2751688.00,1375844.00
Hamed Haddadi,C,UFA,MEM,MEM,2,2697500.00,1348750.00
Randy Foye,SG,UFA,LAC,UTH,1,2500000.00,2500000.00
James Anderson,SG,UFA,SAS,HOU,3,2429920.00,809973.00
