Player,POS.,TYPE,FROM,TO,YRS,DOLLARS,AVG. SALARY
Ronnie Price,PG,UFA,PHX,POR,2,2412314.00,1206157.00
Patrick Mills,PG,UFA,SAS,SAS,2,2219070.00,1109535.00
C.J. Watson,PG,UFA,CHI,BKN,2,2099622.00,1049811.00
Marco Belinelli,SF,UFA,NOH,CHI,1,1957000.00,1957000.00
Daniel Orton,C,UFA,ORL,OKC,2,1770488.00,885244.00
Martell Webster,SF,UFA,MIN,WAS,1,1750000.00,1750000.00
DeAndre Liggins,SG,UFA,ORL,OKC,2,1646488.00,823244.00
Cory Higgins,SG,UFA,CHA,CHA,2,1646488.00,823244.00
E'Twaun Moore,SG,UFA,HOU,ORL,2,1646488.00,823244.00
Jodie Meeks,SG,UFA,PHI,LAL,1,1500000.00,1500000.00
Troy Murphy,PF,UFA,LAL,DAL,1,1352181.00,1352181.00
Eddy Curry,C,UFA,MIA,SAS,1,1352181.00,1352181.00
Anthony Carter,PG,UFA,TOR,DEN,1,1352181.00,1352181.00
Jamaal Magloire,C,UFA,TOR,TOR,1,1352181.00,1352181.00
Jermaine O'Neal,C,UFA,BOS,PHX,1,1352181.00,1352181.00
Nazr Mohammed,C,UFA,OKC,CHI,1,1352181.00,1352181.00
Jason Collins,C,UFA,ATL,BOS,1,1352181.00,1352181.00
Antawn Jamison,PF,UFA,CLE,LAL,1,1352181.00,1352181.00
Vladimir Radmanovic,SF,UFA,ATL,CHI,1,1352181.00,1352181.00
Jerry Stackhouse,SF,UFA,ATL,BKN,1,1352181.00,1352181.00
Chris Wilcox,PF,UFA,BOS,BOS,1,1352181.00,1352181.00
Chris Quinn,PG,UFA,UTH,CLE,2,1276282.00,638141.00
Dionte Christmas,SG,UFA,PHI,BOS,2,1262476.00,631238.00
Josh Howard,SF,UFA,UTH,MIN,1,1229255.00,1229255.00
Leandro Barbosa,SG,UFA,IND,BOS,1,1229255.00,1229255.00
Jannero Pargo,PG,UFA,ATL,WAS,1,1229255.00,1229255.00
Darko Milicic,PF,UFA,MIN,BOS,1,1229255.00,1229255.00
Marquis Daniels,SF,UFA,BOS,MIL,1,1229255.00,1229255.00
Brian Cook,PF,UFA,DEN,WAS,1,1229255.00,1229255.00
Matt Barnes,SF,UFA,LAL,LAC,1,1229255.00,1229255.00
Keith Bogans,SF,UFA,NJN,BKN,1,1229255.00,1229255.00
Damien Wilkins,SG,UFA,DET,PHI,1,1223166.00,1223166.00
Roger Mason,SG,UFA,WAS,NOH,1,1223166.00,1223166.00
Royal Ivey,PG,UFA,OKC,PHI,1,1223166.00,1223166.00
Delonte West,PG,UFA,DAL,DAL,1,1223166.00,1223166.00
Solomon Jones,PF,UFA,PHX,NYK,2,1217915.00,608958.00
Terrence Williams,SG,UFA,BOS,BOS,2,1197823.00,598912.00
Kevin Jones,PF,UFA,CLE,CLE,2,1178899.00,589450.00
Andray Blatche,C,UFA,WAS,BKN,1,1146337.00,1146337.00
Nate Robinson,PG,UFA,GSW,CHI,1,1146337.00,1146337.00
Ronny Turiaf,C,UFA,MIA,LAC,1,1146337.00,1146337.00
Shaun Livingston,PG,UFA,HOU,WAS,1,1108044.00,1108044.00
Derek Fisher,PG,UFA,OKC,DAL,1,1088340.00,1088340.00
Earl Barron,PF,UFA,GSW,WAS,1,1069509.00,1069509.00
Josh Childress,SF,UFA,PHX,BKN,1,1069509.00,1069509.00
Ronnie Brewer,SF,UFA,CHI,NYK,1,1069509.00,1069509.00
Ryan Hollins,C,UFA,CLE,LAC,1,1069509.00,1069509.00
Devin Ebanks,SF,RFA,LAL,LAL,1,1054389.00,1054389.00
Luke Harangody,PF,RFA,CLE,CLE,1,1054389.00,1054389.00
Donte Greene,SF,RFA,SAC,MEM,2,1032811.00,516406.00
Jarvis Varnado,PF,UFA,MIA,MIA,2,1006173.00,503087.00
Ivan Johnson,PF,RFA,ATL,ATL,1,962195.00,962195.00
Darius Morris,PG,RFA,LAL,LAL,1,962195.00,962195.00
Adam Morrison,SF,UFA,WAS,POR,1,915852.00,915852.00
Cartier Martin,PF,UFA,WAS,WAS,1,915852.00,915852.00
Jonny Flynn,PG,UFA,POR,DET,1,885120.00,885120.00
DaJuan Summers,PF,UFA,NOH,CHA,1,885120.00,885120.00
Derrick Brown,PG,UFA,CHA,SAS,1,885120.00,885120.00
Sundiata Gaines,PG,UFA,NJN,IND,1,885120.00,885120.00
A.J. Price,PG,UFA,IND,WAS,1,885120.00,885120.00
Blake Ahearn,SG,UFA,UTH,IND,1,885120.00,885120.00
Ben Uzoh,PG,UFA,TOR,DEN,1,854389.00,854389.00
Armon Johnson,PG,UFA,NJN,ORL,1,854389.00,854389.00
Othyus Jeffers,PG,UFA,WAS,PHX,1,854389.00,854389.00
Solomon Alabi,C,UFA,TOR,NOH,1,854389.00,854389.00
Anthony Tolliver,PF,UFA,MIN,ATL,1,854389.00,854389.00
Justin Holiday,SG,UFA,POR,PHI,2,836232.00,418116.00
Kris Joseph,SF,UFA,BKN,BKN,2,805587.00,402794.00
Josh Akognon,PG,UFA,DAL,DAL,2,802802.00,401401.00
Willie Reed,PF,UFA,SAC,MEM,2,791658.00,395829.00
Walker Russell Jr,PG,UFA,DET,OKC,1,762195.00,762195.00
Jerome Jordan,C,UFA,HOU,MEM,1,762195.00,762195.00
Josh Harrellson,PF,UFA,HOU,MIA,1,762195.00,762195.00
Chris Wright,SF,UFA,GSW,TOR,1,762195.00,762195.00
Terrel Harris,SG,UFA,MIA,MIA,1,762195.00,762195.00
Jermaine Taylor,SG,UFA,SAC,MIN,1,762195.00,762195.00
Mickell Gladness,PF,UFA,GSW,MIA,1,762195.00,762195.00
Daequan Cook,SG,UFA,HOU,CHI,1,595608.00,595608.00
Chris Douglas-Roberts,SG,UFA,DAL,DAL,1,593678.00,593678.00
Lazar Hayward,PF,UFA,HOU,MIN,1,573066.00,573066.00
Garrett Temple,SG,UFA,MIA,WAS,1,572943.00,572943.00
Shelvin Mack,PG,UFA,WAS,WAS,1,511119.00,511119.00
Seth Tarver,SG,UFA,POR,MIN,1,473604.00,473604.00
Jerel McNeal,PG,UFA,NOH,TOR,1,473604.00,473604.00
Stephen Dennis,SG,UFA,LAC,BKN,1,473604.00,473604.00
James Mays,PF,UFA,BKN,BKN,1,473604.00,473604.00
Jamar Smith,SG,UFA,BOS,BOS,1,473604.00,473604.00
Keyon Dooling,SG,UFA,BOS,MEM,1,119310.00,119310.00
Mike James,PG,UFA,DAL,DAL,1,1352181.00,1352181.00
Damion James,SG,UFA,ATL,BKN,1,854389.00,854389.00
Mickael Pietrus,SF,UFA,BOS,TOR,1,1005097.00,1005097.00
J.R. Smith,SG,UFA,NYK,NYK,2,5739194.00,2869597.00
Dan Gadzuric,C,UFA,POR,PHI,1,1352181.00,1352181.00
Kris Humphries,PF,UFA,NJN,TBD,2,24000000.00,12000000.00
Josh Childress,SF,UFA,BKN,TBD,3,21000000.00,7000000.00
Darko Milicic,PF,UFA,BOS,TBD,2,6983000.00,3491500.00
Ryan Gomes,SF,UFA,LAC,TBD,1,4000000.00,4000000.00
Jordan Farmar,PG,UFA,ATL,TBD,1,1500000.00,1500000.00
Jonny Flynn,PG,UFA,DET,TBD,1,885120.00,885120.00
Shawne Williams,SF,UFA,POR,TBD,1,2600000.00,2600000.00
Kenyon Martin,PF,UFA,LAC,TBD,1,270436.00,270436.00
Brook Lopez,C,RFA,NJN,TBD,4,60825938.00,15206485.00
Louis Amundson,PF,UFA,IND,TBD,1,1069509.00,1069509.00
Terrence Williams,SG,UFA,DET,TBD,2,1197823.00,598912.00
Josh Howard,SF,UFA,MIN,TBD,1,1109327.00,1109327.00
Robin Lopez,C,RFA,NOH,TBD,3,15359283.00,5119761.00
Derek Fisher,PG,UFA,DAL,TBD,1,1113561.00,1113561.00
D.J. White,PF,UFA,CHA,TBD,2,1183658.00,591829.00
Brian Cook,PF,UFA,WAS,TBD,1,1229255.00,1229255.00
Alando Tucker,SF,UFA,MIL,TBD,1,885120.00,885120.00
Eddy Curry,C,UFA,DAL,TBD,1,1352181.00,1352181.00
Sasha Pavlovic,SG,UFA,BOS,TBD,3,4080710.00,1360237.00
Steve Novak,SF,UFA,NYK,TBD,4,15000002.00,3750001.00
Kyle Weaver,PG,UFA,MEM,TBD,1,885120.00,885120.00
Sam Young,SF,UFA,MEM,TBD,1,885120.00,885120.00
Derrick Brown,PG,UFA,SAS,TBD,1,854389.00,854389.00
Tyler Honeycutt,SF,UFA,HOU,TBD,3,2469168.00,823056.00
Solomon Alabi,C,UFA,NOH,TBD,1,854389.00,854389.00
Andy Rautins,SG,UFA,OKC,TBD,1,762195.00,762195.00
Alonzo Gee,SF,RFA,CLE,TBD,3,9750000.00,3250000.00
Joel Przybilla,C,UFA,POR,TBD,1,1352181.00,1352181.00
Shelvin Mack,PG,UFA,PHI,TBD,2,1352181.00,676091.00
Sundiata Gaines,PG,UFA,IND,TBD,1,885120.00,885120.00
Sean Williams,PF,UFA,HOU,TBD,1,915852.00,915852.00
Chris Wright,SF,UFA,TOR,TBD,1,762195.00,762195.00
Jerome Jordan,C,UFA,MEM,TBD,1,762195.00,762195.00
Josh Harrellson,PF,UFA,MIA,TBD,1,762195.00,762195.00
Walker Russell Jr,PG,RFA,OKC,TBD,1,762195.00,762195.00
DaJuan Summers,PF,UFA,CHA,TBD,2,1015593.00,507797.00
Gerald Green,SG,UFA,NJN,TBD,3,10500000.00,3500000.00
Ryan Hollins,C,UFA,BOS,TBD,1,1069509.00,1069509.00
Earl Barron,PF,UFA,WAS,TBD,1,1069509.00,1069509.00
Carldell Johnson,SG,UFA,ATL,TBD,1,762195.00,762195.00
Alan Anderson,SG,UFA,TOR,TBD,1,885120.00,885120.00
Ike Diogu,PF,UFA,PHX,TBD,1,1146337.00,1146337.00
Dan Gadzuric,C,UFA,PHI,TBD,1,1352181.00,1352181.00
Diamon Simpson,PF,UFA,HOU,TBD,1,762195.00,762195.00
Armon Johnson,PG,UFA,ORL,TBD,1,854389.00,854389.00
Mickell Gladness,PF,UFA,MIA,TBD,1,762195.00,762195.00
Donald Sloan,PG,UFA,CLE,TBD,1,762195.00,762195.00
Blake Ahearn,SG,UFA,IND,TBD,1,885120.00,885120.00
Ryan Allen,SG,UFA,CHI,TBD,1,473604.00,473604.00
Carleton Scott,SF,UFA,BKN,TBD,1,473604.00,473604.00
Devin Searcy,PF,UFA,PHI,TBD,1,473604.00,473604.00
John Shurna,SF,UFA,NYK,TBD,1,473604.00,473604.00
Henry Sims,C,UFA,NYK,TBD,2,1262476.00,631238.00
Rick Jackson,SF,UFA,GSW,TBD,1,473604.00,473604.00
Darnell Jackson,PF,UFA,UTH,TBD,1,885120.00,885120.00
Chris Smith,SG,UFA,NYK,TBD,2,1262476.00,631238.00
Marqus Blakely,PF,UFA,LAC,TBD,1,762195.00,762195.00
Greg Somogyi,C,UFA,LAL,TBD,1,473604.00,473604.00
Marko Jaric,PG,UFA,CHI,TBD,1,1223166.00,1223166.00
Othyus Jeffers,PG,UFA,PHX,TBD,1,854389.00,854389.00
Kris Joseph,SF,UFA,BOS,TBD,2,805587.00,402794.00
Christapher Johnson,SF,UFA,MEM,TBD,1,473604.00,473604.00
Carlon Brown,SG,UFA,GSW,TBD,1,473604.00,473604.00
D'Aundray Brown,PG,UFA,CLE,TBD,1,473604.00,473604.00
Brian Butch,C,UFA,UTH,TBD,1,473604.00,473604.00
Hasheem Thabeet,C,UFA,POR,TBD,3,3650000.00,1216667.00
Hollis Thompson,SG,UFA,OKC,TBD,3,2090188.00,696729.00
Darius Johnson-Odom,SG,UFA,LAL,TBD,1,473604.00,473604.00
Derrick Byars,SF,UFA,SAS,TBD,1,854389.00,854389.00
Hank Thorns,PG,UFA,LAC,TBD,1,473604.00,473604.00
Rodney Carney,PF,UFA,MIA,TBD,1,992680.00,992680.00
Anthony Carter,PG,UFA,DEN,TBD,1,1352181.00,1352181.00
Dionte Christmas,SG,UFA,BOS,TBD,2,1262476.00,631238.00
Jamar Smith,SG,UFA,BOS,TBD,1,473604.00,473604.00
Coby Karl,SG,UFA,POR,TBD,1,854389.00,854389.00
Dominic McGuire,SF,UFA,IND,TBD,1,718233.00,718233.00
Dallas Lauderdale,PF,UFA,POR,TBD,1,473604.00,473604.00
Stephen Dennis,SG,UFA,BKN,TBD,1,473604.00,473604.00
Scott Machado,PG,UFA,HOU,TBD,3,2177719.00,725906.00
Micah Downs,SG,UFA,BOS,TBD,2,1462476.00,731238.00
Robert Dozier,PF,UFA,MIA,TBD,1,473604.00,473604.00
Michael Dunigan,C,UFA,MEM,TBD,1,473604.00,473604.00
Ronald Dupree,PF,UFA,MEM,TBD,1,1069509.00,1069509.00
Melvin Ely,C,UFA,DAL,TBD,1,1223166.00,1223166.00
Michael Eric,C,UFA,CLE,TBD,3,2177719.00,725906.00
Mustapha Farrakhan,SG,UFA,MIL,TBD,1,473604.00,473604.00
Adam Morrison,SF,UFA,POR,TBD,1,915852.00,915852.00
Flip Murray,SG,UFA,MEM,TBD,1,1223166.00,1223166.00
Hamady N'Diaye,C,UFA,SAC,TBD,1,854389.00,854389.00
Trey Gilder,SF,UFA,UTH,TBD,1,762195.00,762195.00
Reeves Nelson,PF,UFA,HOU,TBD,1,473604.00,473604.00
Eddie Gill,PG,UFA,MIL,TBD,1,1223166.00,1223166.00
Wesley Witherspoon,SG,UFA,SAS,TBD,1,473604.00,473604.00
Luke Nevill,C,RFA,IND,TBD,1,473604.00,473604.00
Chris Wright,PG,UFA,NOH,TBD,1,473604.00,473604.00
Lance Goulbourne,SG,UFA,GSW,TBD,1,473604.00,473604.00
Josh Owens,PF,UFA,CHA,TBD,1,473604.00,473604.00
Steven Gray,SG,UFA,WAS,TBD,1,473604.00,473604.00
Trent Plaisted,C,UFA,LAC,TBD,1,473604.00,1352181.00
Orien Greene,PG,UFA,MIL,TBD,1,915852.00,915852.00
Josh Powell,PF,UFA,SAS,TBD,1,1069509.00,1069509.00
Ronnie Aguilar,C,UFA,LAL,TBD,1,473604.00,473604.00
Demonte Harper,SG,UFA,POR,TBD,1,473604.00,473604.00
