Player,POS.,TYPE,FROM,TO,YRS,DOLLARS,AVG. SALARY
Rashard Lewis,PF,UFA,SEA,SEA,6,118200000.00,19700000.00
Mo Williams,PG,UFA,MIL,MIL,6,51263000.00,8543833.00
Luke Walton,SF,UFA,LAL,LAL,6,30291363.00,5048561.00
Matt Carroll,SG,UFA,CHA,CHA,6,26900000.00,4483333.00
Jerry Stackhouse,SF,UFA,DAL,DAL,3,21000000.00,7000000.00
Darko Milicic,PF,UFA,ORL,MEM,3,21000000.00,7000000.00
Andray Blatche,C,RFA,WAS,WAS,5,20551752.00,4110350.00
Sasha Pavlovic,SG,RFA,CLE,CLE,3,13500000.00,4500000.00
Steve Blake,PG,UFA,DEN,POR,3,13430000.00,4476667.00
DeShawn Stevenson,SF,UFA,WAS,WAS,4,12688715.00,3172179.00
Anderson Varejao,PF,RFA,CLE,CLE,2,11100000.00,5550000.00
Matt Bonner,C,UFA,SAS,SAS,3,8940000.00,2980000.00
Chuck Hayes,PF,RFA,HOU,HOU,4,7602250.00,1900563.00
Grant Hill,SF,UFA,ORL,PHX,2,3806400.00,1903200.00
Mickael Pietrus,SF,RFA,GSW,GSW,1,3470770.00,3470770.00
Ronnie Price,PG,RFA,SAC,UTH,2,2288000.00,1144000.00
Roger Mason,SG,UFA,WAS,WAS,1,798328.00,798328.00
Royal Ivey,PG,UFA,ATL,MIL,1,798328.00,798328.00
Beno Udrih,PG,UFA,MIN,SAC,1,788349.00,788349.00
C.J. Miles,SG,RFA,UTH,UTH,1,770610.00,770610.00
Dahntay Jones,SF,UFA,BOS,SAC,1,626823.00,626823.00
Earl Barron,PF,RFA,MIA,MIA,1,973328.00,973328.00
Vince Carter,SG,UFA,NJN,TBD,5,79989750.00,15997950.00
Chauncey Billups,PG,UFA,DET,TBD,4,46300000.00,11575000.00
Gerald Wallace,SF,UFA,CHA,TBD,5,48075000.00,9615000.00
Chucky Atkins,PG,UFA,MEM,TBD,2,640000.00,320000.00
Chris Kaman,C,RFA,LAC,TBD,5,53830000.00,10766000.00
James Jones,SG,UFA,POR,TBD,3,7950000.00,2650000.00
Malik Allen,SF,UFA,CHI,TBD,1,998398.00,998398.00
Travis Outlaw,SF,RFA,POR,TBD,3,11600000.00,3866667.00
Leandro Barbosa,SG,UFA,PHX,TBD,5,33000000.00,6600000.00
Matt Barnes,SF,UFA,GSW,TBD,1,3000000.00,3000000.00
Kelenna Azubuike,SF,UFA,CLE,TBD,1,687456.00,687456.00
Anfernee Hardaway,PG,UFA,MIA,TBD,1,1219590.00,1219590.00
Anthony Tolliver,PF,UFA,CLE,TBD,1,427163.00,427163.00
