Player,POS.,TYPE,FROM,TO,YRS,DOLLARS,AVG. SALARY
Jason Maxiell,PF,UFA,DET,ORL,2,5000000.00,2500000.00
Pablo Prigioni,PG,RFA,NYK,NYK,3,4988883.00,1662961.00
Quentin Richardson,PF,UFA,NYK,TOR,3,4347184.00,1449061.00
Nate Robinson,PG,UFA,CHI,DEN,2,4122720.00,2061360.00
Eric Maynor,PG,UFA,POR,WAS,2,4122720.00,2061360.00
C.J. Watson,PG,UFA,BKN,IND,2,4093000.00,2046500.00
Elton Brand,PF,UFA,DAL,ATL,1,4000000.00,4000000.00
Darren Collison,PG,UFA,DAL,LAC,2,3885500.00,1942750.00
Al-Farouq Aminu,SF,UFA,NOP,NOP,1,3749602.00,3749602.00
Jeff Ayres,PF,RFA,IND,SAS,2,3578750.00,1789375.00
Metta World Peace,SF,UFA,LAL,NYK,2,3251550.00,1625775.00
John Lucas III,PG,UFA,TOR,UTH,2,3200000.00,1600000.00
Chris Kaman,C,UFA,DAL,LAL,1,3183000.00,3183000.00
Darius Morris,PG,UFA,LAL,PHI,3,3060877.00,1020292.00
Ronny Turiaf,C,UFA,LAC,MIN,2,3000000.00,1500000.00
Daniel Orton,C,UFA,OKC,PHI,3,2997785.00,999262.00
Jon Leuer,PF,RFA,MEM,MEM,3,2902500.00,967500.00
Elliot Williams,SG,UFA,CLE,PHI,3,2879231.00,959744.00
Chris Andersen,PF,UFA,MIA,MIA,2,2847997.00,1423999.00
Andray Blatche,C,UFA,BKN,BKN,2,2813110.00,1406555.00
Robert Sacre,C,RFA,LAL,LAL,3,2685463.00,895154.00
Greg Stiemsma,C,UFA,MIN,NOP,1,2676000.00,2676000.00
Diante Garrett,PG,UFA,OKC,UTH,3,2615857.00,871952.00
Francisco Garcia,SG,UFA,HOU,HOU,2,2582786.00,1291393.00
Ronnie Price,PG,UFA,POR,ORL,2,2582786.00,1291393.00
Chauncey Billups,PG,UFA,LAC,DET,1,2500000.00,2500000.00
Nick Young,SF,UFA,PHI,LAL,2,2334927.00,1167464.00
Brandon Davies,PF,UFA,LAC,PHI,3,2253938.00,751313.00
Lorenzo Brown,PG,UFA,MIN,PHI,3,2190503.00,730168.00
Anthony Morrow,SG,UFA,DAL,NOP,2,2173109.00,1086555.00
Austin Daye,PF,UFA,MEM,TOR,2,2011291.00,1005646.00
Alan Anderson,SG,UFA,TOR,BKN,2,2011291.00,1005646.00
B.J. Mullens,PF,UFA,CHA,LAC,2,2011291.00,1005646.00
Reggie Williams,SF,UFA,CHA,HOU,2,2011291.00,1005646.00
Omri Casspi,SF,UFA,CLE,HOU,2,2011291.00,1005646.00
Jermaine O'Neal,C,UFA,PHX,GSW,1,2000000.00,2000000.00
Julyan Stone,PG,UFA,DEN,TOR,2,1832456.00,916228.00
Lance Thomas,SF,UFA,NOP,NOP,2,1832456.00,916228.00
Fab Melo,C,UFA,MEM,DAL,2,1704115.00,852058.00
Danny Granger,SF,UFA,PHI,LAC,2,1674261.00,837131.00
Malcolm Thomas,PF,UFA,CHI,SAS,2,1650396.00,825198.00
Toney Douglas,SG,UFA,SAC,GSW,1,1600000.00,1600000.00
Glen Davis,PF,UFA,ORL,LAC,2,1566579.00,783290.00
Shavlik Randolph,PF,UFA,BOS,PHX,2,1534022.00,767011.00
Mike James,PG,UFA,CHI,CHI,2,1506117.00,753059.00
Jeremy Tyler,PF,UFA,NYK,NYK,2,1504747.00,752374.00
Kendall Marshall,PG,UFA,WAS,LAL,2,1462813.00,731407.00
Lamar Odom,PF,UFA,LAC,NYK,2,1456722.00,728361.00
DeJaun Blair,C,UFA,SAS,DAL,1,1400000.00,1400000.00
DeSagana Diop,C,UFA,CHA,CLE,1,1399507.00,1399507.00
Corey Maggette,SF,UFA,DET,SAS,1,1399507.00,1399507.00
Dahntay Jones,SF,UFA,ATL,CHI,1,1399507.00,1399507.00
Antawn Jamison,PF,UFA,LAL,LAC,1,1399507.00,1399507.00
Al Harrington,PF,UFA,ORL,WAS,1,1399507.00,1399507.00
Jannero Pargo,PG,UFA,CHA,CHA,1,1399507.00,1399507.00
Mike Miller,SG,UFA,MIA,MEM,1,1399507.00,1399507.00
Marcus Camby,C,UFA,TOR,HOU,1,1399507.00,1399507.00
Kenyon Martin,PF,UFA,NYK,NYK,1,1399507.00,1399507.00
Derek Fisher,PG,UFA,OKC,OKC,1,1399507.00,1399507.00
Nazr Mohammed,C,UFA,CHI,CHI,1,1399507.00,1399507.00
Earl Watson,PG,UFA,UTH,POR,1,1399507.00,1399507.00
Luke Babbitt,SF,UFA,POR,NOP,2,1369079.00,684540.00
Melvin Ely,C,UFA,MEM,NOP,2,1346597.00,673299.00
Jamaal Tinsley,PG,UFA,UTH,UTH,1,1339507.00,1339507.00
Josh Powell,PF,UFA,NYK,HOU,2,1324244.00,662122.00
Chris Smith,SG,UFA,NYK,NYK,2,1306662.00,653331.00
Damien Wilkins,SG,UFA,PHI,ATL,1,1272279.00,1272279.00
Royal Ivey,PG,UFA,PHI,ATL,1,1272279.00,1272279.00
Beno Udrih,PG,UFA,ORL,NYK,1,1272279.00,1272279.00
Shaun Livingston,PG,UFA,CLE,BKN,1,1272279.00,1272279.00
Devin Harris,PG,UFA,ATL,DAL,1,1265977.00,1265977.00
Solomon Jones,PF,UFA,NYK,ORL,1,1186459.00,1186459.00
Louis Amundson,PF,UFA,NOP,LAC,1,1186459.00,1186459.00
Ryan Hollins,C,UFA,LAC,LAC,1,1186459.00,1186459.00
Dwayne Jones,C,UFA,GSW,UTH,1,1106942.00,1106942.00
Josh Childress,SF,UFA,WAS,NOP,1,1081771.00,1081771.00
Stephen Jackson,SF,UFA,SAS,LAC,1,1053746.00,1053746.00
Cartier Martin,PF,UFA,WAS,ATL,1,1027424.00,1027424.00
D.J. White,PF,UFA,BOS,CHI,1,1027424.00,1027424.00
Michael Beasley,SF,UFA,PHX,MIA,1,1027424.00,1027424.00
Anthony Tolliver,PF,UFA,ATL,CHA,1,1027424.00,1027424.00
Greg Oden,C,UFA,POR,MIA,1,1027424.00,1027424.00
Andrew Bynum,C,UFA,CHI,IND,1,1000000.00,1000000.00
A.J. Price,PG,UFA,WAS,MIN,1,947907.00,947907.00
Sam Young,SF,UFA,IND,SAS,1,947907.00,947907.00
Aaron Brooks,PG,UFA,HOU,HOU,1,947907.00,947907.00
Lazar Hayward,PF,UFA,MIN,NOP,1,916099.00,916099.00
Cole Aldrich,C,UFA,SAC,NYK,1,916099.00,916099.00
Devin Ebanks,SF,UFA,LAL,DAL,1,916099.00,916099.00
Wesley Johnson,SG,UFA,PHX,LAL,1,916099.00,916099.00
Gary Forbes,SF,UFA,HOU,BKN,1,884293.00,884293.00
Hamady N'Diaye,C,UFA,SAC,SAC,1,884293.00,884293.00
Dexter Pittman,C,UFA,MEM,CHI,1,884293.00,884293.00
Jorge Gutierrez,PG,UFA,BKN,BKN,2,874150.00,437075.00
Justin Holiday,SG,UFA,PHI,UTH,1,788872.00,788872.00
Kris Joseph,SF,UFA,BOS,ORL,1,788872.00,788872.00
Scott Machado,PG,UFA,GSW,UTH,1,788872.00,788872.00
Darius Johnson-Odom,SG,UFA,LAL,LAL,1,788872.00,788872.00
DeQuan Jones,SF,UFA,ORL,SAC,1,788872.00,788872.00
Bernard James,C,UFA,DAL,DAL,1,788872.00,788872.00
D.J. Augustin,PG,UFA,TOR,CHI,1,755459.00,755459.00
Hedo Turkoglu,SF,UFA,ORL,LAC,1,749148.00,749148.00
Chris Douglas-Roberts,SG,UFA,NYK,CHA,1,708142.00,708142.00
James Johnson,PF,UFA,ATL,MEM,1,680263.00,680263.00
Justin Hamilton,C,UFA,MIA,MIA,1,490180.00,490180.00
Adonis Thomas,SF,UFA,ATL,BKN,1,480190.00,480190.00
Dewayne Dedmon,C,UFA,GSW,GSW,1,432512.00,432512.00
Leandro Barbosa,SG,UFA,PHX,PHX,1,410936.00,410936.00
Caron Butler,SF,UFA,MIL,OKC,1,386923.00,386923.00
Seth Curry,SG,UFA,GSW,MEM,1,328709.00,328709.00
Troy Daniels,SG,UFA,HOU,HOU,2,158588.00,79294.00
Willie Reed,PF,UFA,MEM,SAC,1,102089.00,102089.00
J.R. Smith,SG,UFA,NYK,NYK,1,2382353.00,2382353.00
Xavier Henry,SG,UFA,NOP,LAL,1,916099.00,916099.00
Stephen Jackson,SF,UFA,LAC,TBD,1,1053746.00,1053746.00
Corey Maggette,SF,UFA,SAS,TBD,1,1399507.00,1399507.00
Tyrus Thomas,PF,UFA,CHA,TBD,2,18082645.00,9041322.50
Metta World Peace,SF,UFA,NYK,TBD,2,3251550.00,1625775.00
DeSagana Diop,C,UFA,CLE,TBD,1,1399507.00,1399507.00
Drew Gooden,PF,UFA,MIL,TBD,2,13374800.00,6687400.00
Linas Kleiza,SF,UFA,TOR,TBD,1,4600000.00,4600000.00
Marcus Camby,C,UFA,HOU,TBD,1,1399507.00,1399507.00
Carl Landry,PF,UFA,GSW,TBD,4,26000000.00,6500000.00
Ryan Gomes,SF,UFA,BOS,TBD,1,1186459.00,1186459.00
Tiago Splitter,PF,UFA,SAS,TBD,4,36000000.00,9000000.00
Shannon Brown,PG,UFA,WAS,TBD,2,1505703.00,752851.50
Dahntay Jones,SF,UFA,CHI,TBD,1,1399507.00,1399507.00
Shawne Williams,SF,UFA,LAL,TBD,1,1106942.00,1106942.00
Reggie Williams,SF,UFA,HOU,TBD,2,2011291.00,1005645.50
Jason Collins,C,UFA,WAS,TBD,1,271669.00,271669.00
Fab Melo,C,UFA,DAL,TBD,2,1704115.00,852057.50
Leandro Barbosa,SG,UFA,WAS,TBD,1,410936.00,410936.00
Roger Mason,SG,UFA,NOP,TBD,1,1399507.00,1399507.00
Damien Wilkins,SG,UFA,ATL,TBD,1,1272279.00,1272279.00
Earl Clark,SF,UFA,PHI,TBD,2,9000000.00,4500000.00
Jared Cunningham,SG,UFA,DAL,TBD,1,915243.00,915243.00
Ronnie Brewer,SF,UFA,OKC,TBD,2,2496745.00,1248372.50
Devin Ebanks,SF,UFA,DAL,TBD,1,916099.00,916099.00
Darius Morris,PG,UFA,LAC,TBD,3,3060877.00,1020292.33
Daniel Orton,C,UFA,PHI,TBD,3,2997785.00,999261.67
Cartier Martin,PF,UFA,CHI,TBD,1,1027424.00,1027424.00
Tim Ohlbrecht,C,UFA,PHI,TBD,3,1848982.00,616327.33
Terrence Williams,SG,UFA,BOS,TBD,2,1197823.00,598911.50
Dwayne Jones,C,UFA,UTH,TBD,1,1106942.00,1106942.00
Terrel Harris,SG,UFA,POR,TBD,2,973963.00,486981.50
Justin Holiday,SG,UFA,UTH,TBD,1,788872.00,788872.00
Sam Young,SF,UFA,SAS,TBD,1,947907.00,947907.00
Quentin Richardson,PF,UFA,TOR,TBD,3,4347184.00,1449061.33
Dominic McGuire,SF,UFA,UTH,TBD,1,1106942.00,1106942.00
Damion James,SG,UFA,DEN,TBD,1,916099.00,916099.00
Lazar Hayward,PF,UFA,NOP,TBD,1,916099.00,916099.00
Chris Wright,PG,UFA,TOR,TBD,1,788872.00,788872.00
Christapher Johnson,SF,UFA,BKN,TBD,3,2216780.00,738926.67
Kris Joseph,SF,UFA,ORL,TBD,1,788872.00,788872.00
Scott Machado,PG,UFA,UTH,TBD,1,788872.00,788872.00
Marcus Cousin,C,UFA,SAS,TBD,1,788872.00,788872.00
Olek Czyz,SF,UFA,MIL,TBD,1,490180.00,490180.00
Eric Dawson,PF,UFA,ATL,TBD,1,788872.00,788872.00
Rodney Williams,PF,UFA,PHI,TBD,3,2253938.00,751312.67
Ike Diogu,PF,UFA,NYK,TBD,1,1186459.00,1186459.00
Khalif Wyatt,SG,UFA,PHI,TBD,3,2253938.00,751312.67
Larry Drew II,PG,UFA,MIA,TBD,1,490180.00,490180.00
B.J. Young,PG,RFA,HOU,TBD,3,2253938.00,751312.67
Ron Howard,SG,UFA,IND,TBD,1,490180.00,490180.00
Richard Howell,PF,UFA,POR,TBD,2,1306662.00,653331.00
Lester Hudson,PG,UFA,UTH,TBD,1,916099.00,916099.00
Darnell Jackson,PF,UFA,IND,TBD,1,916099.00,916099.00
Marko Jaric,PG,UFA,BKN,TBD,1,1265977.00,1265977.00
Mustapha Farrakhan,SG,UFA,LAC,TBD,1,490180.00,490180.00
Othyus Jeffers,PG,UFA,MIN,TBD,1,884293.00,884293.00
Courtney Fells,SG,UFA,SAS,TBD,1,490180.00,490180.00
D'or Fischer,PF,UFA,WAS,TBD,1,490180.00,490180.00
Kyle Fogg,SG,UFA,DEN,TBD,1,490180.00,490180.00
Abdul Gaddy,PG,UFA,CHA,TBD,1,490180.00,490180.00
Dan Gadzuric,C,UFA,LAL,TBD,1,1399507.00,1399507.00
Solomon Jones,PF,UFA,ORL,TBD,1,1186459.00,1186459.00
Tony Gaffney,SF,UFA,MEM,TBD,1,788872.00,788872.00
Cameron Jones,SG,UFA,GSW,TBD,1,490180.00,490180.00
Myck Kabongo,PG,UFA,SAS,TBD,1,490180.00,490180.00
Kenny Kadji,PF,UFA,CLE,TBD,1,1306662.00,1306662.00
D.J. Kennedy,SG,UFA,DAL,TBD,1,788872.00,788872.00
Mac Koshwal,PF,UFA,PHI,TBD,3,2253938.00,751312.67
Mickell Gladness,PF,UFA,ORL,TBD,1,788872.00,788872.00
Marcus Landry,PF,UFA,LAL,TBD,1,788873.00,788873.00
Gani Lawal,SF,UFA,PHI,TBD,3,2685463.00,895154.33
Michael Lee,PF,UFA,CLE,TBD,1,490180.00,490180.00
C.J. Leslie,SF,UFA,NYK,TBD,2,1306662.00,653331.00
David Lighty,PF,UFA,ATL,TBD,1,490180.00,490180.00
Stephen Graham,PG,UFA,MIL,TBD,1,1106942.00,1106942.00
Trent Lockett,SG,UFA,SAC,TBD,2,1306662.00,653331.00
Kalin Lucas,PG,UFA,CHI,TBD,1,490180.00,490180.00
JaMychal Green,PF,UFA,LAC,TBD,1,490180.00,490180.00
Eric Griffin,PF,UFA,MIA,TBD,1,490180.00,490180.00
Richard McConnell,PG,UFA,DAL,TBD,1,490180.00,490180.00
C.J. Aiken,PF,UFA,SAC,TBD,1,490480.00,490480.00
Rodney McGruder,SG,UFA,OKC,TBD,1,490180.00,490180.00
Trey McKinney-Jones,SG,UFA,MIL,TBD,1,490180.00,490180.00
Solomon Alabi,C,UFA,PHI,TBD,3,2847877.00,949292.33
Joe Alexander,SF,UFA,GSW,TBD,1,916099.00,916099.00
Elias Harris,SF,UFA,LAL,TBD,2,1306662.00,653331.00
Pops Mensah-Bonsu,SF,UFA,WAS,TBD,1,947907.00,947907.00
Manny Harris,SG,UFA,ORL,TBD,1,884293.00,884293.00
Carlos Morais,SG,UFA,TOR,TBD,1,490180.00,490180.00
Mike Harris,PF,UFA,UTH,TBD,1,916099.00,916099.00
Brandon Heath,SG,UFA,SAC,TBD,1,490180.00,490180.00
James Nunnally,SG,UFA,ATL,TBD,1,490180.00,490180.00
Jordan Henriquez,C,UFA,HOU,TBD,3,2253938.00,751312.67
Dan Nwaelele,SG,UFA,SAS,TBD,1,490180.00,490180.00
Patrick O'Bryant,C,UFA,CHA,TBD,1,947907.00,947907.00
Arinze Onuaku,PF,UFA,NOH,TBD,2,1306662.00,653331.00
Chris Babb,SG,UFA,BOS,TBD,3,1841610.00,613870.00
Romero Osby,PF,UFA,ORL,TBD,1,490180.00,490180.00
Renaldo Balkman,PF,UFA,DAL,TBD,1,1106942.00,1106942.00
Dexter Pittman,C,UFA,CHI,TBD,1,884293.00,884293.00
Reginald Becton,PF,UFA,DEN,TBD,1,490180.00,490180.00
Xavier Silas,SG,UFA,WAS,TBD,1,788872.00,788872.00
DeShawn Sims,SF,UFA,BOS,TBD,1,490180.00,490180.00
Damen Bell-Holter,PF,UFA,BOS,TBD,1,490180.00,490180.00
E.J. Singler,SF,UFA,POR,TBD,1,490180.00,490180.00
Vander Blue,SG,UFA,PHI,TBD,1,490180.00,490180.00
Eric Boateng,C,UFA,LAL,TBD,1,490180.00,490180.00
Dee Bost,PG,UFA,POR,TBD,2,1306662.00,653331.00
Jermaine Taylor,SG,UFA,CLE,TBD,1,884293.00,884293.00
Lorenzo Brown,PG,UFA,PHI,TBD,3,2190503.00,730167.67
Derrick Byars,SF,UFA,MEM,TBD,1,884293.00,884293.00
Adonis Thomas,SF,UFA,BKN,TBD,2,1306662.00,653331.00
Patrick Christopher,SG,UFA,CHI,TBD,1,490180.00,490180.00
Charlie Westbrook,SG,UFA,MIA,TBD,1,490180.00,490180.00
