Player,POS.,TYPE,FROM,TO,YRS,DOLLARS,AVG. SALARY
Dwight Howard,C,UFA,LAL,HOU,4,87591270.00,21897818.00
Nikola Pekovic,C,RFA,MIN,MIN,5,60000000.00,12000000.00
Josh Smith,SF,UFA,ATL,DET,4,56000000.00,14000000.00
Andre Iguodala,SG,UFA,DEN,GSW,4,48000000.00,12000000.00
Tyreke Evans,SF,RFA,SAC,NOP,4,44000004.00,11000001.00
Al Jefferson,C,UFA,UTH,CHA,3,41000000.00,13666667.00
Jeff Teague,PG,RFA,ATL,ATL,4,32000000.00,8000000.00
Jose Calderon,PG,UFA,DET,DAL,4,29000000.00,7250000.00
Kevin Martin,SG,UFA,OKC,MIN,4,27805000.00,6951250.00
J.J. Redick,SG,UFA,MIL,LAC,4,27755000.00,6938750.00
Jarrett Jack,PG,UFA,GSW,CLE,4,25200000.00,6300000.00
Monta Ellis,SG,UFA,MIL,DAL,3,25080000.00,8360000.00
Brandon Jennings,PG,RFA,MIL,DET,3,24000000.00,8000000.00
Kyle Korver,SG,UFA,ATL,ATL,4,24000000.00,6000000.00
O.J. Mayo,SG,UFA,DAL,MIL,3,24000000.00,8000000.00
Tony Allen,SG,UFA,MEM,MEM,4,20000001.00,5000000.00
Paul Millsap,PF,UFA,UTH,ATL,2,19000000.00,9500000.00
Gerald Henderson,SG,RFA,CHA,CHA,3,18000000.00,6000000.00
J.J Hickson,PF,UFA,POR,DEN,3,16145250.00,5381750.00
Keith Bogans,SF,UFA,BKN,BOS,3,15629874.00,5209958.00
Zaza Pachulia,C,UFA,ATL,MIL,3,15600000.00,5200000.00
Chase Budinger,SF,RFA,MIN,MIN,3,15000000.00,5000000.00
Manu Ginobili,SG,UFA,SAS,SAS,2,14500000.00,7250000.00
Corey Brewer,SG,UFA,DEN,MIN,3,14107500.00,4702500.00
Marreese Speights,C,UFA,CLE,GSW,3,10972500.00,3657500.00
Matt Barnes,SF,UFA,LAC,LAC,3,10188750.00,3396250.00
Brandan Wright,PF,UFA,DAL,DAL,2,10000000.00,5000000.00
Carlos Delfino,SG,UFA,HOU,MIL,3,9750000.00,3250000.00
Randy Foye,SG,UFA,UTH,DEN,3,9135000.00,3045000.00
Timofey Mozgov,C,RFA,DEN,DEN,2,9050000.00,4525000.00
Earl Clark,SF,UFA,LAL,CLE,2,9000000.00,4500000.00
Samuel Dalembert,C,UFA,MIL,DAL,2,7568030.00,3784015.00
Tyler Hansbrough,PF,UFA,IND,TOR,2,6509235.00,3254618.00
Andrei Kirilenko,SF,UFA,MIN,BKN,2,6509235.00,3254618.00
Mike Dunleavy,SF,UFA,MIL,CHI,2,6509235.00,3254618.00
Gary Neal,PG,UFA,SAS,MIL,2,6500000.00,3250000.00
Chris Copeland,SF,RFA,NYK,IND,2,6135000.00,3067500.00
Dorell Wright,SF,UFA,PHI,POR,2,6135000.00,3067500.00
Will Bynum,PG,UFA,DET,DET,2,5706251.00,2853126.00
Marco Belinelli,SF,UFA,CHI,SAS,2,5623750.00,2811875.00
Mo Williams,PG,UFA,UTH,POR,2,5423340.00,2711670.00
Wayne Ellington,SG,UFA,CLE,DAL,2,5423340.00,2711670.00
Josh McRoberts,PF,UFA,CHA,CHA,2,5423340.00,2711670.00
DeMarre Carroll,SF,UFA,UTH,ATL,2,5000000.00,2500000.00
