Player,POS.,TYPE,FROM,TO,YRS,DOLLARS,AVG. SALARY
Marc Gasol,C,RFA,MEM,MEM,4,57503764,14375941.00
Tyson Chandler,C,UFA,DAL,NYK,4,55409450,13852363.00
Thaddeus Young,PF,RFA,PHI,PHI,5,43999998,8800000.00
DeAndre Jordan,C,RFA,LAC,LAC,4,43039054,10759764.00
Arron Afflalo,SG,RFA,DEN,DEN,5,36712500,7342500.00
Wilson Chandler,SF,RFA,DEN,DEN,5,31720817,6344163.00
Marcus Thornton,SG,RFA,SAC,SAC,4,31150000,7787500.00
Tayshaun Prince,SF,UFA,DET,DET,4,28000000,7000000.00
Glen Davis,PF,UFA,BOS,BOS,4,25700000,6425000.00
Rodney Stuckey,PG,RFA,DET,DET,3,25500000,8500000.00
Jason Richardson,SG,UFA,ORL,ORL,4,24000000,6000000.00
Caron Butler,SF,UFA,DAL,LAC,3,24000000,8000000.00
Chuck Hayes,PF,UFA,HOU,SAC,4,22417500,5604375.00
David West,PF,UFA,NOH,IND,2,20000000,10000000.00
Luc Richard Mbah a Moute,SF,RFA,MIL,MIL,4,18765152,4691288.00
Jose Barea,PG,UFA,DAL,MIN,4,18000000,4500000.00
Jonas Jerebko,PF,RFA,DET,DET,4,18000000,4500000.00
Richard Hamilton,SG,UFA,DET,CHI,2,10000000,5000000.00
Shane Battier,SF,UFA,MEM,MIA,3,9405000,3135000.00
Vince Carter,SG,UFA,PHX,DAL,3,9270000,3090000.00
Corey Brewer,SG,UFA,NYK,DAL,3,9177000,3059000.00
Carl Landry,PF,UFA,NOH,NOH,1,9000000,9000000.00
Jeff Green,SF,RFA,BOS,BOS,1,9000000,9000000.00
Kris Humphries,PF,UFA,NJN,NJN,1,8000000,8000000.00
Mario Chalmers,PG,RFA,MIA,MIA,2,8000000,4000000.00
Jason Smith,PF,UFA,NOH,NOH,3,7500000,2500000.00
Mike Dunleavy,SF,UFA,IND,MIL,2,7500000,3750000.00
Grant Hill,SF,UFA,PHX,PHX,1,6500000,6500000.00
Daequan Cook,SG,RFA,OKC,OKC,2,6500000,3250000.00
James Jones,SG,UFA,MIA,MIA,3,4500000,1500000.00
Dante Cunningham,PF,RFA,CHA,MEM,2,4090000,2045000.00
Spencer Hawes,PF,RFA,PHI,PHI,1,4051023,4051023.00
Sebastian Telfair,PG,UFA,MIN,PHX,2,3067500,1533750.00
Kurt Thomas,PF,UFA,CHI,POR,2,2704362,1352181.00
Kenyon Martin,PF,UFA,DEN,LAC,1,2500000,2500000.00
Earl Clark,SF,UFA,ORL,ORL,2,2400000,1200000.00
Anthony Parker,SG,UFA,CLE,CLE,1,2250000,2250000.00
Brandan Wright,PF,UFA,NJN,DAL,2,1908532,954266.00
Brian Cardinal,PF,UFA,DAL,DAL,1,1400000,1400000.00
Brian Scalabrine,PF,UFA,CHI,CHI,1,1400000,1400000.00
Juwan Howard,PF,UFA,MIA,MIA,1,1400000,1400000.00
Baron Davis,PG,UFA,CLE,NYK,1,1352181,1352181.00
Mike Bibby,PG,UFA,MIA,NYK,1,1352181,1352181.00
Jason Collins,C,UFA,ATL,ATL,1,1352181,1352181.00
Jerry Stackhouse,SF,UFA,ATL,ATL,1,1352181,1352181.00
Tony Battie,PF,UFA,PHI,PHI,1,1352181,1352181.00
Tracy McGrady,SG,UFA,DET,ATL,1,1352181,1352181.00
Hamed Haddadi,C,RFA,MEM,MEM,1,1300000,1300000.00
Jared Jeffries,PF,UFA,NYK,NYK,1,1229255,1229255.00
Sasha Pavlovic,SG,UFA,BOS,BOS,1,1223166,1223166.00
Ronnie Price,PG,UFA,UTH,PHX,1,1069509,1069509.00
Craig Smith,PF,UFA,LAC,POR,1,992680,992680.00
Dominic McGuire,SF,UFA,CHA,GSW,1,915852,915852.00
Derrick Brown,PG,RFA,NYK,CHA,1,854389,854389.00
Josh Davis,PF,UFA,MEM,MEM,1,854389,854389.00
Joel Przybilla,C,UFA,CHA,POR,1,655616,655616.00
DeMarre Carroll,SF,UFA,UTH,DEN,1,537438,537438.00
Yi Jianlian,PF,UFA,WAS,DAL,1,771706,771706.00
Jeff Foster,C,UFA,IND,IND,1,3000000,3000000.00
Michael Redd,SG,UFA,MIL,PHX,1,1308506,1308506.00
Troy Murphy,PF,UFA,BOS,LAL,1,1352181,1352181.00
Maurice Evans,SG,UFA,WAS,WAS,1,1223166,1223166.00
Earl Barron,PF,UFA,GSW,GSW,1,224252,224252.00
Earl Watson,PG,UFA,UTH,UTH,2,4000000,2000000.00
John Lucas III,PG,UFA,CHI,CHI,2,3067500,1533750.00
Chris Johnson,PF,RFA,POR,BOS,1,762195,762195.00
Gilbert Arenas,SG,UFA,ORL,TBD,3,62423766,20807922.00
Zach Randolph,PF,UFA,MEM,TBD,4,66000000,16500000.00
Brandon Roy,SG,UFA,POR,TBD,4,68698940,17174735.00
Chauncey Billups,PG,UFA,NYK,TBD,1,2000000,2000000.00
Samuel Dalembert,C,UFA,SAC,TBD,2,13698565,6849283.00
Eddy Curry,C,UFA,MIN,TBD,1,1229255,1229255.00
T.J. Ford,PG,UFA,IND,TBD,1,1146337,1146337.00
Jamal Crawford,SG,UFA,ATL,TBD,1,5000000,5000000.00
Vladimir Radmanovic,SF,UFA,GSW,TBD,1,1352181,1352181.00
Jason Kapono,SF,UFA,PHI,TBD,1,1200000,1200000.00
J.R. Smith,SG,UFA,DEN,TBD,1,2382353,2382353.00
Greg Oden,C,UFA,POR,TBD,1,1500000,1500000.00
Antonio McDyess,PF,UFA,SAS,TBD,1,2600000,2600000.00
Mickael Pietrus,SF,UFA,PHX,TBD,1,3828351,3828351.00
Reggie Evans,PF,UFA,TOR,TBD,1,1229255,1229255.00
Ronny Turiaf,C,UFA,MIA,TBD,1,340305,340305.00
Nate Robinson,PG,UFA,OKC,TBD,1,1069509,1069509.00
Willie Green,SF,UFA,NOH,TBD,1,1352181,1352181.00
Keith Bogans,SF,UFA,CHI,TBD,1,848325,848325.00
DeShawn Stevenson,SF,UFA,DAL,TBD,1,2500000,2500000.00
Josh Howard,SF,UFA,WAS,TBD,1,2150000,2150000.00
Chris Wilcox,PF,UFA,DET,TBD,1,3000000,3000000.00
Jamorio Moon,PF,UFA,LAC,TBD,2,1069962,534981.00
Marquis Daniels,SF,UFA,SAC,TBD,1,1223166,1223166.00
David Andersen,C,UFA,NOH,TBD,1,2685185,2685185.00
Ryan Hollins,C,UFA,CLE,TBD,1,248048,248048.00
Shannon Brown,PG,UFA,LAL,TBD,1,3500000,3500000.00
Terrence Williams,SG,UFA,SAC,TBD,1,186036,186036.00
Jamaal Magloire,C,UFA,MIA,TBD,1,1352181,1352181.00
Kwame Brown,C,UFA,CHA,TBD,1,6750000,6750000.00
Francisco Elson,C,UFA,UTH,TBD,1,897646,897646.00
Aaron Gray,C,UFA,NOH,TBD,1,2500000,2500000.00
Kyrylo Fesenko,C,UFA,UTH,TBD,1,435000,435000.00
Delonte West,PG,UFA,BOS,TBD,1,1146337,1146337.00
Shelden Williams,C,UFA,NYK,TBD,1,992680,992680.00
Patrick Mills,PG,RFA,POR,TBD,1,261829,261829.00
Von Wafer,PG,UFA,BOS,TBD,1,992680,992680.00
Shawne Williams,SF,UFA,NYK,TBD,1,3000000,3000000.00
Josh McRoberts,PF,UFA,IND,TBD,2,6135000,3067500.00
Acie Law,SG,UFA,GSW,TBD,1,656030,656030.00
Ishmael Smith,PG,UFA,HOU,TBD,1,522472,522472.00
DaJuan Summers,PF,RFA,DET,TBD,1,323632,323632.00
Willie Warren,PG,RFA,LAC,TBD,1,788872,788872.00
Gary Forbes,SF,RFA,DEN,TBD,2,3000000,1500000.00
Rasual Butler,SF,UFA,CHI,TBD,1,2400000,2400000.00
Steve Novak,SF,UFA,SAS,TBD,1,922680,922680.00
Damien Wilkins,SG,UFA,ATL,TBD,1,1146337,1146337.00
Larry Owens,PF,UFA,WAS,TBD,1,762195,762195.00
Reggie Williams,SF,RFA,GSW,TBD,1,5112500,5112500.00
Gerald Green,SG,UFA,LAL,TBD,1,277540,277540.00
Greg Smith,C,UFA,HOU,TBD,3,2120092,706697.00
