Player,POS.,TYPE,FROM,TO,YRS,DOLLARS,AVG. SALARY
Adonis Thomas,SF,RFA,PHI,IND,1,816482.00,816482.00
John Lucas III,PG,UFA,BOS,WAS,1,336966.00,336966.00
Chris Bosh,PF,UFA,MIA,TBD,5,118705300.00,23741060.00
Josh Smith,SF,UFA,DET,TBD,1,2077000.00,2077000.00
Charlie Villanueva,PF,UFA,DET,TBD,1,1316809.00,1316809.00
Luke Ridnour,PG,UFA,MEM,TBD,2,5500000.00,2750000.00
Josh McRoberts,PF,UFA,CHA,TBD,4,22652350.00,5663088.00
Jason Maxiell,PF,UFA,ORL,TBD,1,1316809.00,1316809.00
Dante Cunningham,PF,UFA,MIN,TBD,1,831942.00,831942.00
Toney Douglas,SG,UFA,MIA,TBD,2,1329654.00,664827.00
Chris Singleton,SF,UFA,WAS,TBD,1,948163.00,948163.00
Kenyon Martin,PF,UFA,NYK,TBD,1,656081.00,656081.00
Rasual Butler,SF,UFA,IND,TBD,1,1448490.00,1448490.00
Michael Beasley,SF,UFA,MIA,TBD,1,1145685.00,1145685.00
Anthony Tolliver,PF,UFA,CHA,TBD,2,6000000.00,3000000.00
Malcolm Thomas,PF,UFA,BOS,TBD,2,4372948.00,2186474.00
Doron Lamb,SG,UFA,MIL,TBD,1,915243.00,915243.00
Jamaal Franklin,SG,UFA,MEM,TBD,2,966487.00,483244.00
Jeremy Tyler,PF,UFA,SAC,TBD,1,948163.00,948163.00
Louis Amundson,PF,UFA,CHI,TBD,1,1310286.00,1310286.00
Dionte Christmas,SG,UFA,PHX,TBD,1,816482.00,816482.00
Willie Reed,PF,UFA,SAC,TBD,1,915243.00,915243.00
James Southerland,SF,UFA,NOP,TBD,1,816482.00,816482.00
Earl Clark,SF,UFA,MEM,TBD,2,1248336.00,624168.00
Damion James,SG,UFA,SAS,TBD,1,981084.00,981084.00
Jared Cunningham,SG,UFA,SAC,TBD,1,915243.00,915243.00
Pierre Jackson,PG,UFA,PHI,TBD,1,507336.00,507336.00
