Player,POS.,TYPE,FROM,TO,YRS,DOLLARS,AVG. SALARY
Andre Iguodala,SG,RFA,PHI,PHI,6,80500000.00,13416667.00
Emeka Okafor,C,RFA,CHA,CHA,6,72000000.00,12000000.00
Luol Deng,SF,RFA,CHI,CHI,6,71005425.00,11834238.00
Monta Ellis,SG,RFA,GSW,GSW,6,66000000.00,11000000.00
Josh Smith,SF,RFA,ATL,ATL,5,58000000.00,11600000.00
Corey Maggette,SF,UFA,LAC,GSW,5,48000000.00,9600000.00
Jose Calderon,PG,UFA,TOR,TOR,5,45000000.00,9000000.00
Beno Udrih,PG,UFA,SAC,MIL,5,32393000.00,6478600.00
Louis Williams,SG,RFA,PHI,PHI,5,26000000.00,5200000.00
Mickael Pietrus,SF,UFA,GSW,ORL,4,21200000.00,5300000.00
Daniel Gibson,SG,UFA,CLE,CLE,5,21000000.00,4200000.00
C.J. Miles,SG,RFA,UTH,UTH,4,14800000.00,3700000.00
Chris Duhon,PG,UFA,NYK,NYK,2,11616800.00,5808400.00
Kwame Brown,C,UFA,MEM,DET,2,8000000.00,4000000.00
Kurt Thomas,PF,UFA,SAS,SAS,2,8000000.00,4000000.00
Sebastian Telfair,PG,UFA,MIN,MIN,3,7500000.00,2500000.00
Ben Gordon,SG,RFA,CHI,CHI,1,6400000.00,6400000.00
Dorell Wright,SF,RFA,MIA,MIL,2,5500000.00,2750000.00
Michael Finley,SG,UFA,SAS,SAS,2,5000000.00,2500000.00
Jose Barea,PG,RFA,DAL,DAL,3,5000000.00,1666667.00
Dahntay Jones,SF,UFA,SAC,DEN,1,926678.00,926678.00
Royal Ivey,PG,UFA,MIL,PHI,1,854957.00,854957.00
Gerald Green,SG,UFA,HOU,DAL,1,854957.00,854957.00
Brent Barry,SG,UFA,SEA,SAS,2,3972800.00,1986400.00
Baron Davis,PG,UFA,GSW,TBD,5,65000000.00,13000000.00
Elton Brand,PF,UFA,PHI,TBD,4,61635140.00,15408785.00
Gilbert Arenas,SG,UFA,WAS,TBD,6,111000000.00,18500000.00
Matt Barnes,SF,UFA,GSW,TBD,1,926678.00,926678.00
DeSagana Diop,C,UFA,NJN,TBD,5,32393000.00,6478600.00
J.R. Smith,SG,RFA,DEN,TBD,3,16525278.00,5508426.00
Tony Allen,SG,UFA,BOS,TBD,2,5000000.00,2500000.00
Shannon Brown,PG,UFA,CHI,TBD,1,797581.00,797581.00
Malik Allen,SF,UFA,DAL,TBD,2,2600000.00,1300000.00
Roger Mason,SG,UFA,WAS,TBD,2,7280000.00,3640000.00
Ronny Turiaf,C,RFA,LAL,TBD,4,17000000.00,4250000.00
Kelenna Azubuike,SF,UFA,GSW,TBD,3,9332000.00,3110667.00
Ryan Hollins,C,RFA,CHA,TBD,1,972581.00,972581.00
Louis Amundson,PF,UFA,PHI,TBD,2,1652770.00,826385.00
C.J. Watson,PG,RFA,GSW,TBD,1,711517.00,711517.00
Blake Ahearn,SG,UFA,MIA,TBD,1,121478.00,121478.00
Chris Andersen,PF,UFA,NOH,TBD,1,998398.00,998398.00
